Term,Score,Polarity,isAcquired
bulkiness,1,NEG,Y
bulky,1,NEG,Y
bulkyness,1,NEG,Y
bull----,1,NEG,Y
bull****,1,NEG,Y
bullies,1,NEG,Y
bullish,1,POS,Y
bullshit,1,NEG,Y
bullshyt,1,NEG,Y
bully,1,NEG,Y
bullying,1,NEG,Y
bullyingly,1,NEG,Y
bum,1,NEG,Y
bump,1,NEG,Y
bumped,1,NEG,Y
bumping,1,NEG,Y
bumpping,1,NEG,Y
bumps,1,NEG,Y
bumpy,1,NEG,Y
bungle,1,NEG,Y
bungler,1,NEG,Y
bungling,1,NEG,Y
bunk,1,NEG,Y
buoyant,1,POS,Y
burden,1,NEG,Y
burdensome,1,NEG,Y
burdensomely,1,NEG,Y
burn,1,NEG,Y
burned,1,NEG,Y
burning,1,NEG,Y
burns,1,NEG,Y
bust,1,NEG,Y
busts,1,NEG,Y
busybody,1,NEG,Y
butcher,1,NEG,Y
butchery,1,NEG,Y
buzzing,1,NEG,Y
byzantine,1,NEG,Y
cackle,1,NEG,Y
cajole,1,POS,Y
calamities,1,NEG,Y
calamitous,1,NEG,Y
calamitously,1,NEG,Y
calamity,1,NEG,Y
callous,1,NEG,Y
calm,1,POS,Y
calming,1,POS,Y
calmness,1,POS,Y
calumniate,1,NEG,Y
calumniation,1,NEG,Y
calumnies,1,NEG,Y
calumnious,1,NEG,Y
calumniously,1,NEG,Y
calumny,1,NEG,Y
cancer,1,NEG,Y
cancerous,1,NEG,Y
cannibal,1,NEG,Y
cannibalize,1,NEG,Y
capability,1,POS,Y
capable,1,POS,Y
capably,1,POS,Y
capitulate,1,NEG,Y
capricious,1,NEG,Y
capriciously,1,NEG,Y
capriciousness,1,NEG,Y
capsize,1,NEG,Y
captivate,1,POS,Y
captivating,1,POS,Y
carefree,1,POS,Y
careless,1,NEG,Y
carelessness,1,NEG,Y
caricature,1,NEG,Y
carnage,1,NEG,Y
carp,1,NEG,Y
cartoonish,1,NEG,Y
cash-strapped,1,NEG,Y
cashback,1,POS,Y
cashbacks,1,POS,Y
castigate,1,NEG,Y
castrated,1,NEG,Y
casualty,1,NEG,Y
cataclysm,1,NEG,Y
cataclysmal,1,NEG,Y
cataclysmic,1,NEG,Y
cataclysmically,1,NEG,Y
catastrophe,1,NEG,Y
catastrophes,1,NEG,Y
catastrophic,1,NEG,Y
catastrophically,1,NEG,Y
catastrophies,1,NEG,Y
catchy,1,POS,Y
caustic,1,NEG,Y
caustically,1,NEG,Y
cautionary,1,NEG,Y
cave,1,NEG,Y
celebrate,1,POS,Y
celebrated,1,POS,Y
celebration,1,POS,Y
celebratory,1,POS,Y
censure,1,NEG,Y
chafe,1,NEG,Y
chaff,1,NEG,Y
chagrin,1,NEG,Y
challenging,1,NEG,Y
champ,1,POS,Y
champion,1,POS,Y
chaos,1,NEG,Y
chaotic,1,NEG,Y
charisma,1,POS,Y
charismatic,1,POS,Y
charitable,1,POS,Y
charm,1,POS,Y
charming,1,POS,Y
charmingly,1,POS,Y
chaste,1,POS,Y
chasten,1,NEG,Y
chastise,1,NEG,Y
chastisement,1,NEG,Y
chatter,1,NEG,Y
chatterbox,1,NEG,Y
cheap,1,NEG,Y
cheapen,1,NEG,Y
cheaper,1,POS,Y
cheapest,1,POS,Y
cheaply,1,NEG,Y
cheat,1,NEG,Y
cheated,1,NEG,Y
cheater,1,NEG,Y
cheating,1,NEG,Y
cheats,1,NEG,Y
checkered,1,NEG,Y
cheer,1,POS,Y
cheerful,1,POS,Y
cheerless,1,NEG,Y
cheery,1,POS,Y
cheesy,1,NEG,Y
cherish,1,POS,Y
cherished,1,POS,Y
cherub,1,POS,Y
chic,1,POS,Y
chide,1,NEG,Y
childish,1,NEG,Y
chill,1,NEG,Y
chilly,1,NEG,Y
chintzy,1,NEG,Y
chivalrous,1,POS,Y
chivalry,1,POS,Y
choke,1,NEG,Y
choleric,1,NEG,Y
choppy,1,NEG,Y
chore,1,NEG,Y
chronic,1,NEG,Y
chunky,1,NEG,Y
civility,1,POS,Y
civilize,1,POS,Y
clamor,1,NEG,Y
clamorous,1,NEG,Y
clarity,1,POS,Y
clash,1,NEG,Y
classic,1,POS,Y
classy,1,POS,Y
clean,1,POS,Y
cleaner,1,POS,Y
cleanest,1,POS,Y
cleanliness,1,POS,Y
cleanly,1,POS,Y
clear,1,POS,Y
clear-cut,1,POS,Y
cleared,1,POS,Y
clearer,1,POS,Y
clearly,1,POS,Y
clears,1,POS,Y
clever,1,POS,Y
cleverly,1,POS,Y
cliche,1,NEG,Y
cliched,1,NEG,Y
clique,1,NEG,Y
clog,1,NEG,Y
clogged,1,NEG,Y
clogs,1,NEG,Y
cloud,1,NEG,Y
clouding,1,NEG,Y
cloudy,1,NEG,Y
clueless,1,NEG,Y
clumsy,1,NEG,Y
clunky,1,NEG,Y
coarse,1,NEG,Y
cocky,1,NEG,Y
coerce,1,NEG,Y
coercion,1,NEG,Y
coercive,1,NEG,Y
cohere,1,POS,Y
coherence,1,POS,Y
coherent,1,POS,Y
cohesive,1,POS,Y
cold,1,NEG,Y
coldly,1,NEG,Y
collapse,1,NEG,Y
collude,1,NEG,Y
collusion,1,NEG,Y
colorful,1,POS,Y
combative,1,NEG,Y
combust,1,NEG,Y
comely,1,POS,Y
comfort,1,POS,Y
comfortable,1,POS,Y
comfortably,1,POS,Y
comforting,1,POS,Y
comfy,1,POS,Y
comical,1,NEG,Y
commend,1,POS,Y
commendable,1,POS,Y
commendably,1,POS,Y
commiserate,1,NEG,Y
commitment,1,POS,Y
commodious,1,POS,Y
commonplace,1,NEG,Y
commotion,1,NEG,Y
commotions,1,NEG,Y
compact,1,POS,Y
compactly,1,POS,Y
compassion,1,POS,Y
compassionate,1,POS,Y
compatible,1,POS,Y
competitive,1,POS,Y
complacent,1,NEG,Y
complain,1,NEG,Y
complained,1,NEG,Y
complaining,1,NEG,Y
complains,1,NEG,Y
complaint,1,NEG,Y
complaints,1,NEG,Y
complement,1,POS,Y
complementary,1,POS,Y
complemented,1,POS,Y
complements,1,POS,Y
complex,1,NEG,Y
compliant,1,POS,Y
complicated,1,NEG,Y
complication,1,NEG,Y
complicit,1,NEG,Y
compliment,1,POS,Y
complimentary,1,POS,Y
comprehensive,1,POS,Y
compulsion,1,NEG,Y
compulsive,1,NEG,Y
concede,1,NEG,Y
conceded,1,NEG,Y
conceit,1,NEG,Y
conceited,1,NEG,Y
concen,1,NEG,Y
concens,1,NEG,Y
concern,1,NEG,Y
concerned,1,NEG,Y
concerns,1,NEG,Y
concession,1,NEG,Y
concessions,1,NEG,Y
conciliate,1,POS,Y
conciliatory,1,POS,Y
concise,1,POS,Y
condemn,1,NEG,Y
condemnable,1,NEG,Y
condemnation,1,NEG,Y
condemned,1,NEG,Y
condemns,1,NEG,Y
condescend,1,NEG,Y
condescending,1,NEG,Y
condescendingly,1,NEG,Y
condescension,1,NEG,Y
confess,1,NEG,Y
confession,1,NEG,Y
confessions,1,NEG,Y
confidence,1,POS,Y
confident,1,POS,Y
confined,1,NEG,Y
conflict,1,NEG,Y
conflicted,1,NEG,Y
conflicting,1,NEG,Y
conflicts,1,NEG,Y
confound,1,NEG,Y
confounded,1,NEG,Y
confounding,1,NEG,Y
confront,1,NEG,Y
confrontation,1,NEG,Y
confrontational,1,NEG,Y
confuse,1,NEG,Y
confused,1,NEG,Y
confuses,1,NEG,Y
confusing,1,NEG,Y
confusion,1,NEG,Y
confusions,1,NEG,Y
congenial,1,POS,Y
congested,1,NEG,Y
congestion,1,NEG,Y
congratulate,1,POS,Y
congratulation,1,POS,Y
congratulations,1,POS,Y
congratulatory,1,POS,Y
cons,1,NEG,Y
conscientious,1,POS,Y
conscons,1,NEG,Y
conservative,1,NEG,Y
considerate,1,POS,Y
consistent,1,POS,Y
consistently,1,POS,Y
conspicuous,1,NEG,Y
conspicuously,1,NEG,Y
conspiracies,1,NEG,Y
conspiracy,1,NEG,Y
conspirator,1,NEG,Y
conspiratorial,1,NEG,Y
conspire,1,NEG,Y
consternation,1,NEG,Y
constructive,1,POS,Y
consummate,1,POS,Y
contagious,1,NEG,Y
contaminate,1,NEG,Y
contaminated,1,NEG,Y
contaminates,1,NEG,Y
contaminating,1,NEG,Y
contamination,1,NEG,Y
contempt,1,NEG,Y
contemptible,1,NEG,Y
contemptuous,1,NEG,Y
contemptuously,1,NEG,Y
contend,1,NEG,Y
contention,1,NEG,Y
contentious,1,NEG,Y
contentment,1,POS,Y
continuity,1,POS,Y
contort,1,NEG,Y
contortions,1,NEG,Y
contradict,1,NEG,Y
contradiction,1,NEG,Y
contradictory,1,NEG,Y
contrariness,1,NEG,Y
contrasty,1,POS,Y
contravene,1,NEG,Y
contribution,1,POS,Y
contrive,1,NEG,Y
contrived,1,NEG,Y
controversial,1,NEG,Y
controversy,1,NEG,Y
convenience,1,POS,Y
convenient,1,POS,Y
conveniently,1,POS,Y
convience,1,POS,Y
convienient,1,POS,Y
convient,1,POS,Y
convincing,1,POS,Y
convincingly,1,POS,Y
convoluted,1,NEG,Y
cool,1,POS,Y
coolest,1,POS,Y
cooperative,1,POS,Y
cooperatively,1,POS,Y
cornerstone,1,POS,Y
correct,1,POS,Y
correctly,1,POS,Y
corrode,1,NEG,Y
corrosion,1,NEG,Y
corrosions,1,NEG,Y
corrosive,1,NEG,Y
corrupt,1,NEG,Y
corrupted,1,NEG,Y
corrupting,1,NEG,Y
corruption,1,NEG,Y
corrupts,1,NEG,Y
corruptted,1,NEG,Y
cost-effective,1,POS,Y
cost-saving,1,POS,Y
costlier,1,NEG,Y
costly,1,NEG,Y
counter-attack,1,POS,Y
